title,description,image_url,duration,date,cost,rating,type,section_id,location,start_hour,end_hour
"Learn Business Development -Branding, marketing, Sales, product launches","immersive seminar designed to equip you with the essential skills and strategies to drive business growth and success.
Whether you are a budding entrepreneur a seasoned business owner or a marketing professional this seminar will provide you with invaluable insights into the key aspects of business development.
Seminar Highlights 1.
Branding Creating a Strong Brand Identity: Learn how to establish a brand that resonates with your target audience.
Brand Positioning: Discover techniques to differentiate your brand in a crowded market.
Building Brand Loyalty: Strategies to foster customer loyalty and trust in your brand.
2.
Marketing Digital Marketing Strategies: Explore the latest trends and tools in digital marketing.
Content Marketing: Understand the power of storytelling and content creation.
Social Media Marketing: Leverage social platforms to expand your reach and engagement.
3.
Sales Sales Techniques: Master the art of selling with effective techniques and approaches.
Customer Relationship Management (CRM): Learn how to build and maintain strong customer relationships.
Sales Funnel Optimization: Optimize your sales funnel to increase conversion rates.
4.
Product Launches Planning and Execution: Step-by-step guidance on planning and executing successful product launches.
Market Analysis: Conduct thorough market research to identify opportunities and threats.
Post-Launch Strategies: Ensure sustained success with effective post-launch strategies.
What You'll Gain Practical Knowledge: Hands-on sessions and real-world examples to solidify your understanding.
Expert Insights: Learn from industry experts with years of experience in business development.
Networking Opportunities: Connect with like-minded professionals and expand your network.
Who Should Attend? Entrepreneurs looking to grow their business Marketing and sales professionals seeking to enhance their skills Start-up founders preparing for product launches Business students and graduates aiming to enter the business world",https://cdn2.allevents.in/thumbs/thumb6674f8bd6ed36.jpg,1,2025-05-31,0.0,4.5,date,2,Delhi,00:00,00:00
KARGIL VIJAY DIWAS HALF MARATHON (4th Edition),"KARGIL VIJAY DIWAS HALF MARATHON (Saluting those who safeguard billion of smile) Date : 27th July 2025 Venue : Dwarka New Delhi India Let's Run in Solidarity for Our Brave Heroes! Together let's turn every stride into a resounding salute honouring the bravery and commitment of our brave heroes.
Kargil Vijay Diwas Run -2025 and be a part of a nationwide tribute that echoes the spirit of our true heroes.
Hindustan Marathon : It allows people to unwind and participate in refreshing sports and lifestyle activities.
Together people contribute to the making of a healthy community in a fun-filled manner.
It has always been a fun event for runners who want to take the spirit of fitness forward and make running a habit for better health and fitness.
The event also gathers many spectators who are equally encouraged to embrace healthy living.
Even new runners and beginners can participate in this marathon by registering for the 5 KM Run category.
Please mark your calendar and start training.
Only Registered participants will be allowed to run in the event.
Event Information : DISTANCE : 21.1KM HALF MARATHON (TIMED RUN) Race Start Time : 05:15 AM Cut of Time : 3 Hours Registration Fee: 1500 Special Discount Till : 30th May After Discount : 1000 Rs.
FOR 21.1KM Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
10.5KM RUN (TIMED RUN) Registration Fee: 1300 Special Discount Till : 30th May After Discount : 900 Rs.
FOR 10.5KM Race Start Time: 5:30 AM Cut of Time : 2 Hours Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
5KM RUN (TIMED RUN) Registration Fee: 1000 Special Discount Till : 30th May After Discount : 800 Rs.
FOR 5KM Race Start Time: 6 :0 0 AM Cut of Time: 1 Hour Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
Top 3 Male & Female Runners will Get Award in Below Categories : 21.1KM : 18 years to under 45 years/ 45 Years to under 60 years/ 60 years above 60 years.
10.5KM : 15 years to under 45 years/ 45 Years to under 60 years/ 60 years above 60 years.
5KM :10 years to under 45 years/ 45 Years to under 60 years/ 60 years above 60 years.
Important Instructions 1.
The Health Care medical team water toilets sports drinks and time check will be there at various points traffic Police - we want you safe and injury free with treatment close at hand if required.
2 .Event Photos Race Result & Timing Certificate can be download after 3 days from the event date.
Participants will get race result website & photos link on their E-mail ID 3.
(Chest No.) Bib Number.
and T-shirt Collection not Available On Race Day ! (without bib numbers participants not allow to enter in the holding area & run) 4.
.
All The Registered Participants will Get Mail About Bib & T-shirt Collection Details Before 7 Days From The Event Date 5.
Participants need to be at least 10 years old for the 5 km run 6.
Participants need to be at least 15 years old for the 10.5 km run 7.
Participants need to be at least 18 years old for the Half Marathon 21.1KM Run 8.
Please Mail us before 10 Days From The Event Date For any changes in registration 9.
Please note that HINDUSTAN MARATHON is not responsible for any kind of misshaping during or after the event though we will take good care of the all the participants.
10.
Please do not litter the route.
We will have dustbins all along the route.
11.
Please call for an ambulance or aid if you ever do feel dizzy or unsteady 12.
No refunds of registration amount or transfer of registration In the remote case of the run being cancelled due to reasons of State or Nature beyond the control of the organizers there will be no refund of the registration amount but the running will be rescheduled for some other dates.
13.
Any race related queries must be emailed to aGluZHVzdGFubWFyYXRob24gfCBnbWFpbCAhIGNvbQ== Please Must Read All The Details About This Event Before Registering in This Event And Then Feel Form make Payment & Register successfully After Registering you will Get Confirmation Mail on Your Registered E-mail ID About the Organizer Hindustan Marathon is a Creative Company Specializes in Event Creation That Will Target Sportive Running And Lifestyle Events.
We Are Excited To Bring Our Passion To Produce Fantastic Running Events For India in Order To Build up And Expand a Healthy Community.
With a Commitment To Keep Our Events Always different And Fun For Runners! Hindustan Marathon Aims To Go Beyond The Trend And Toward a Revolution.
We Want To Take Forward The Spirit Of Fitness in Every Home Anyone Can Start Running For better Health & Fitness We Want To Make People Aware For Healthy Life While Running! Our Aim is Only To Make you fit & Healthy and Presenting the good running events ! For Sponsor & Associate Contact us : Email : aGluZHVzdGFubWFyYXRob24gfCBnbWFpbCAhIGNvbQ== WhatsApp Message Only : 9717415388 For Corporate Booking Running Group Booking Contact on above number for Running Partner & Group Discount ! Look forward to see you all !! Celebrate finish lines not finish times !! Let your run do the talking.
Waiver statement: I affirm and state that I am physically fit and sufficiently trained for participating in the designated race.
I have been certified to be physically fit by licensed medical practitioner and agree to indemnify the organizers its agents employees and associates the organizing committee and other persons connected to the event against any losses damages costs liabilities claims or proceedings arising out of any misstatement and/ or misrepresentation made herein.
Refund Policy THERE IS NO REFUND ONCE TICKET PURCHASED REFUND IS ONLY POSSIBLE IF EVENT CANCELLED",https://cdn2.allevents.in/thumbs/thumb680cb7939865d.jpg,1,2025-07-27,0.0,4.5,friends,2,द्वारका,05:00,06:00
Freshly Baked Jokes a Comedy Open Mic 19 May - 22 May 6:00 PM,"NOTE : If open mic is canceled because of no bringer and Audience no refund or spot aadjustment will be provided.
Comedy Open Mic.
5 mjn stage time.
Bringer Mandatory.
No refund or adjustment.
No refund or adjustment until unless mic is cancelled by Nojoto Creator Hub.",https://cdn2.allevents.in/thumbs/thumb67e66bf10a6e0.jpg,1,2025-05-21,0.0,4.5,friends,2,Nojoto Creator Hub,18:00,20:00
HINDUSTAN MARATHON (11th Edition),"REGISTRATION CLOSE DATE : 30th August 2025 HINDUSTAN MARATHON (11th Edition) 15th September 2025 Venue : Dwarka New Delhi India Hindustan Marathon : It allows people to unwind and participate in refreshing sports and lifestyle activities.
Together people contribute to the making of a healthy community in a fun-filled manner.
It has always been a fun event for runners who want to take the spirit of fitness forward and make running a habit for better health and fitness.
The event also gathers many spectators who are equally encouraged to embrace healthy living.
Even new runners and beginners can participate in this marathon by registering for the 5 KM Run category.
Please mark your calendar and start training.
Only Registered participants will be allowed to run in the event.
Event Information : DISTANCE : 21.1KM HALF MARATHON Race Start Time : 5:30 AM Cut of Time : 3 Hours Registration Fee: 1700 INR ( DISCOUNTED PRICE 1000 Rs./ Till 30th May 2025 Benefit: Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
10KM RUN Registration Fee : 1500 (DISCOUNTED PRICE 900 Rs./ Till 30th May 2025 Race Start Time : 6:00 AM Cut of Time : 2 Hours Benefit: Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
5KM RUN Registration Fee: 1200 INR (DISCOUNTED PRICE 800 Rs./ Till 30th May 2025 Race Start Time: 6:30 AM Cut of Time : 1 Hour Benefit: Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Timing Chip Bib Number Online Race Result & Timing Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area Volunteers To Guide Race Day Photos Zumba We start with warm-up exercises and some music and close with cool-down stretches.
(Great Thing is that lots of volunteers will be cheering for the participants of the HINDUSTAN MARATHON 2025 ) Top 3 Male & Female Runners will Get Award in Below Categories : 21.1KM : 18 years to under 35 years 35 Years to under 45 years 45 years to under 60 years above 60 years.
10KM : 18 years to under 35 years 35 Years to under 45 years 45 years to under 60 years above 60 years.
5KM : 18 years to under 35 years 35 Years to under 45 years 45 years to under 60 years above 60 years.
Important Instructions 1.
The Health Care medical team water toilets sports drinks and time check will be there at various points traffic Police - we want you safe and injury free with treatment close at hand if required.
2 .Event Photos Race Result & Timing Certificate can be download after 3 days from the event date.
Participants will get race result website & photos link on their E-mail ID 3.
(Chest No.) Bib Number.
and T-shirt Collection not Available On Race Day ! (without bib numbers participants not allow to enter in the stadium & run) 4.
.
All The Registered Participants will Get Mail About Bib & T-shirt Collection Details Before 7 Days From The Event Date 5.
Participants need to be at least 18 years old for the 5 km run 6.
Participants need to be at least 18 years old for the 10 km run 7.
Participants need to be at least 18 years old for the Half Marathon 8.
Please Mail us before 10 Days From The Event Date For any changes in registration 9.
Please note that HINDUSTAN MARATHON is not responsible for any kind of misshaping during or after the event though we will take good care of the all the participants.
10.
Please do not litter the route.
We will have dustbins all along the route.
11.
Please call for an ambulance or aid if you ever do feel dizzy or unsteady 12.
No refunds of registration amount or transfer of registration In the remote case of the run being cancelled due to reasons of State or Nature beyond the control of the organizers there will be no refund of the registration amount but the running will be rescheduled for some other dates.
13.
Any race related queries must be emailed to aGluZHVzdGFubWFyYXRob24gfCBnbWFpbCAhIGNvbQ== Please Must Read All The Details About This Event Before Registering in This Event And Then Feel Form make Payment & Register successfully After Registering you will Get Confirmation Mail on Your Registered E-mail ID About the Organizer Hindustan Marathon is a Creative Company Specializes in Event Creation That Will Target Sportive Running And Lifestyle Events.
We Are Excited To Bring Our Passion To Produce Fantastic Running Events For India in Order To Build up And Expand a Healthy Community.
With a Commitment To Keep Our Events Always different And Fun For Runners! Hindustan Marathon Aims To Go Beyond The Trend And Toward a Revolution.
We Want To Take Forward The Spirit Of Fitness in Every Home Anyone Can Start Running For better Health & Fitness We Want To Make People Aware For Healthy Life While Running! Our Aim is Only To Make you fit & Healthy and Presenting the good running events ! For Sponsor & Associate Contact us : Email : aGluZHVzdGFubWFyYXRob24gfCBnbWFpbCAhIGNvbQ== WhatsApp Message Only : 9717415388 For Corporate Booking Running Group Booking Contact on above number for Running Partner & Group Discount ! Look forward to see you all !! Celebrate finish lines not finish times !! Let your run do the talking.
Waiver statement: I affirm and state that I am physically fit and sufficiently trained for participating in the designated race.
I have been certified to be physically fit by licensed medical practitioner and agree to indemnify the organizers its agents employees and associates the organizing committee and other persons connected to the event against any losses damages costs liabilities claims or proceedings arising out of any misstatement and/ or misrepresentation made herein.",https://cdn2.allevents.in/thumbs/thumb680cbf8f0bbff.jpg,1,2025-09-14,0.0,4.5,friends,2,द्वारका,05:00,06:00
DELHI HEROES HALF MARATHON,"Delhi Heroes Half Marathon 2025 #health #fitness #marathon EVENT INFORMATION Event Date: August 31st 2025 | 05:30 AM(IST) Venue: Jawaharlal Nehru Stadium Gate#1 Pragati Vihar New Delhi Splash Marathon: It allows people to unwind themselves and participate in a refreshing sports and lifestyle activity.
Together people contribute to the making of a healthy community in a fun-filled manner.
It has always been a fun event for runners who want to take the spirit of fitness forward and make running a habit for better health and fitness.
The event also gathers many spectators who are equally encouraged to embrace healthy living.
Even new runners and beginners can participate in this marathon by registering for the 2KM Run category.
Please mark your calendar and start training.
Only Registered participants will be allowed to run in the event.
Event Information: DISTANCE: 21.1KM RUN - CHAMPION RUN(Timed Run) Registration Fee : 1599 INR Cut of Time: 2 Hours(Valid for pacers only) Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Bib Number Timing Chip Bib Online Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area paid Volunteers To Guide Race Day Photos Zumba dance.
We start with warm up exercises and some music and close with cool down stretches.
----------------------------------------------------------------------------------------------------------------- 10KM RUN - ULTRA RUN(Timed Run) Registration Fee : 1199 INR Cut of Time : 1 Hour(Valid for pacers only) Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Bib Number Timing Chip Bib Online Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area paid Volunteers To Guide Race Day Photos Zumba dance.
We start with warm up exercises and some music and close with cool down stretches.
---------------------------------------------------------------------------------------------------- 5KM RUN - FITNESS RUN(Timed Run) registration price:- 799 Cut of Time : 1 Hour(Valid for pacers only) Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Bib Number Timing Chip Bib Online Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area paid Volunteers To Guide Race Day Photos Zumba dance.
We start with warm up exercises and some music and close with cool down stretches.
---------------------------------------------------------------------------------------------------- 2KM RUN -- FUN RUN(Non-Timed Run) Registration Fee : 599 INR Cut of Time : Open Timing Benefit : Beautiful attractive finisher Medal Refreshment Hydration Dry-fit Running T-shirt Bib Number Timing Chip Bib Online Certificate Energy Drink Medical Facility Km Signage Board Washroom Baggage Storage Car Parking Area paid Volunteers To Guide Race Day Photos Zumba dance.
We start with warm up exercises and some music and close with cool down stretches.
---------------------------------------------------------------------------------------------------- Top 3 Runners will Get Attractive Award & Winning Medal in Below Categories 21.1KM RUN - CHAMPION RUN(Timed Run) 1st : Trophy +Gift hamper + Winning medal+ Gift Hamper 2nd : Trophy +Gift hamper + Winning medal+ Gift Hamper 3rd : Trophy +Gift hamper + Winning medal+ Gift Hamper ///////////////////////////////////////////////////////////////////////////////////////////////////////////////// 10KM RUN - ULTRA RUN(Timed Run) 1st :- Trophy +Gift hamper + Winning medal+ Gift Hamper 2nd : Trophy +Gift hamper + Winning medal+ Gift Hamper 3rd : Trophy +Gift hamper + Winning medal+ Gift Hamper ///////////////////////////////////////////////////////////////////////////////////////////////////////////// 5KM RUN - FITNESS RUN(Timed Run) 1st :- Trophy +Gift hamper + Winning medal+ Gift Hamper 2nd : Trophy +Gift hamper + Winning medal+ Gift Hamper 3rd : Trophy +Gift hamper + Winning medal+ Gift Hamper ///////////////////////////////////////////////////////////////////////////////////////////////////////////// 2KM RUN -- FUN RUN(Non-Timed Run) 1st :- Trophy +Gift hamper + Winning medal+ Gift Hamper 2nd : Trophy +Gift hamper + Winning medal+ Gift Hamper 3rd : Trophy +Gift hamper + Winning medal+ Gift Hamper ///////////////////////////////////////////////////////////////////////////////////////////////////////////// Important Instructions 1.
The Health Care medical team water toilets sports drinks and time check will be there at various points traffic Police - we want you safe and injury free with treatment close at hand if required.
2.
Event Photos Race Result & Timing Certificate can be download after 3 days from the event date from our given links through our official Facebook page of Splash International Group.
3.
(Chest No.) Bib Number and T-shirt Collection is not Available on Race Day! (Participants are not allowed to enter the event without having their BIB Numbers for the run) 4.
All Registered Participants will get email About Bib & T-shirt Collection Details Before 3 Days From The Event Date.
5.Participants needs to be at least 5 years+(Accompanied with guardian) old for the 2 km run.
6.
Participants needs to be at least 10 years old for the 5 km run.
7.
Participants needs to be at least 15 years old for the 10 km run.
8.
Please Note That There is no Prize distribution For Age Categories winners on Race Day Only Overall Top 3 Runners per category will get Prize on Race Day.
9.
Please Mail us before 10 Days from The Event Date For any changes in registration 10.
Please note that Splash Marathons is not responsible for any kind of mishappening during or after the event though we will take good care of the all the participants.
11.
Please do not litter the route.
We will have dustbins all along the route.
12.
Please call for an ambulance (available at the Venue) or aid if you ever do feel dizzy or unsteady.
13.
No refunds of registration amount or transfer of registration is allowed.
In the remote case of the run being cancelled due to reasons of State or Nature beyond the control of the organizers there will be no refund of the registration amount but the running will be rescheduled for some other dates.
14.
Any race related queries must be emailed to c3BsYXNoaW50bGdyb3VwIHwgZ21haWwgISBjb20= Please Must Read All The Details About This Event Before doing Registration And then fill the Form make Payment & Register successfully.
After Registration you will Get Confirmation Mail on Your Registered E-mail ID.
About the Organizer Splash International Group is a Creative Company Specializes in Event Creation That Will Target Sportive Running and Lifestyle Events.
We Are Excited to Bring Our Passion to Produce Fantastic Running Events for India in Order to Build up And Expand a Healthy Community.
With a Commitment to Keep Our Events Always different And Fun For Runners! Splash Marathon Aims to Go Beyond the Trend and Toward a Revolution.
We Want to Take Forward the Spirit of Fitness in Every Home Anyone Can Start Running For better Health & Fitness We Want to Make People Aware for Healthy Life While Running! Our Aim is Only to Make you fit & Healthy and Presenting the good running events! For Group Entries and Sponsorship Contact: Rahul Singh (Event Organizer) Email: c3BsYXNoaW50bGdyb3VwIHwgZ21haWwgISBjb20= Contact number: 8587020133 Running Group Admin can WhatsApp on above number for Running Partner & Group Discounts! Looking forward to see you all!! Celebrate finish lines not finish times!! Let your run do the talking.
Waiver statement: I have read all the rules and guidelines and understand the nature of the event and i am participating in this event at my own risk and take full responsibility of my safety and action during the event.
I affirm and state that I am physically fit and sufficiently trained for participating in the designated race.
I have been certified to be physically fit by licensed medical practitioner and agree to indemnify the organizers its agents employees and associates the organizing committee and other persons connected to the event against any losses damages costs liabilities claims or proceedings arising out of any misstatement and/ or misrepresentation made herein",https://cdn2.allevents.in/thumbs/thumb681f05e225711.jpg,1,2025-08-31,0.0,4.5,friends,2,Jawaharlal Nehru Stadium,05:30,09:30
Ragas Unplugged in Delhi: An eve of Spotlight Performances and Jam Sessions,"LIVE MUSICAL EVENT 25th May | 6:30 PM onwards| Moustache Hostel Delhi Part 1: Spotlight Performance ⏰ 3 Hours of Live Performances 10-Minute Sets by Emerging Artists Live recording(Sound+Video) ✨ A chance to discover fresh music and connect with artists who share your vibe! Part 2: Jamming Along ⏰ 1 Hours of Crowd-Singing Fun Sing along to your favorite songs with fellow music lovers! Perfect way to spend the evening - come with friends meet new ones or just vibe along to the rhythm.
Find Your Tribe.
Enjoy Live Music.
Experience the Magic of Jamming Together! Multiple Artists One Roof.
Unforgettable Moments.
Location: Moustache Hostel Delhi Date: 25th May | Time: 6:30 PM - 10:30 PM",https://cdn2.allevents.in/thumbs/thumb67ce83dcea1bf.jpg,1,2025-05-25,0.0,4.5,friends,3,Moustache Delhi,18:30,22:30
STEAM Summer Camp,"One Week Summer Camp at STEAM Varsity MakerSpace - Gurugram | Booking will be valid for whole week- Monday to Friday (2 hours each day) The STEAM Summer Camp offers an exciting, interdisciplinary, project-based learning experience that integrates Science, Technology, Engineering, Arts, and Mathematics (STEAM) with hands-on activities and cutting-edge technologies, all within a vibrant makerspace culture .
Designed for students who are passionate about learning through creativity, collaboration, and innovation, this camp provides an engaging environment where young minds can thrive during the summer break.
At the core of the camp is a makerspace -a dynamic, collaborative environment where students have access to a wide range of tools, technologies, and materials to bring their ideas to life.
This makerspace culture emphasizes learning by doing, encouraging students to experiment, prototype, and iterate on their projects while working together in teams.
Participants will engage in a variety of project-based challenges that allow them to explore diverse fields and develop both technical and creative skills: 3D Printing : Students will design and print their own creations, applying engineering principles to create functional models or artistic designs, all while learning the basics of 3D design and manufacturing.
Robotics : Campers will build and program robots to complete tasks, gaining hands-on experience in electronics, mechanics, and automation while fostering collaboration and problem-solving.
Artificial Intelligence (AI) : Dive into the world of AI by creating smart systems like chatbots or image recognition tools, understanding the fundamentals of machine learning, and applying them to real-world challenges.
App Inventor : Students will design and develop mobile apps, applying coding principles to create interactive applications that address problems and provide solutions in the digital world.
Augmented Reality (AR) and Virtual Reality (VR) : Explore the possibilities of AR and VR by creating immersive experiences that combine creativity, design, and technology to build interactive worlds.
Throughout the camp, students will work on project-based learning , where they apply the skills from each workshop to create a final, collaborative project.
For instance, they may design a robotic system that uses AI to interact with AR environments, or combine 3D printing with app development to create a unique, interactive mobile experience.
The makerspace culture encourages students to take risks, experiment, and learn from failure, fostering critical thinking and resilience.
In this hands-on environment, students not only gain technical knowledge but also develop key skills such as teamwork, communication, and creativity.
By blending interdisciplinary projects with the collaborative, experimental nature of a makerspace, the STEAM Summer Camp provides a dynamic learning experience where students can unlock their full potential and discover how various fields of study work together to solve complex, real-world problems.",https://cdn-az.allevents.in/events4/banners/0b58cf90-3579-11f0-9451-d5588ce6a2f1-rimg-w1200-h600-dc482d8e-gmir.jpg?v=1747745444,1,2025-05-23,0.0,4.5,tourist,2,Steam Varsity Makerspace: Gurugram,14:00,14:00
Summer Joy 2025- Summer Camp 2025,"Register Now: Click on the Link and Fill Your Enquiry Form : https://forms.gle/hqXJXm7kiastyGva6 Call on or WhatsApp +91 81301 73395 Limited spots available secure your child's place in this unforgettable adventure! Air Conditioned Transport Available .
Sign up now and let the adventure begin! Summer workshops are a fantastic way for children to learn new skills make friends and have a blast during their school break.
Announcing the much-awaited SUMMER WORKSHOPS 2025 by Panchshila Montessori School.
1.
The Magical Quest - Where Stories Meet Adventure! As the warmth of the Summer Sun shines on the faces of eager childrenthere's nothing like the magic of storytelling that brings everyone together.
Age Group : 2 years to - 6 years Dates: 15th May to 6th June 2025.
Time : 9:30 am - 12 noon 2.
The Lion King - A Musical Theatre production! An opportunity for your kids to ROAR with confidence and shine! Join Pause and Effect at Panch Shila Montessori School for a magical journey into the world of The Lion King Ages: 6 to 14 years Dates: 19th May - 6th June 2025.
Time : 10:30 am - 12:30 pm Grand Finale: Live performance on the 7th of June.
Over the course of 15 sessions children will step into the vibrant world of musical theatre through engaging techniques imaginative activities and play.
They'll build confidence develop stage presence and grow their collaborative spirit - while having loads of fun along the way!",https://cdn2.allevents.in/thumbs/thumb681063f033aff.jpg,1,Multiple Dates 2025,0.0,4.5,family,2,"Panchshila Montessori School, Panchsheel Park North, Panchsheel Park, Delhi",,
Game Development Summer Camp - Junior,"Build your own games from scratch in this beginner-friendly camp! Learn game design, coding, and animation while creating interactive stories and challenges using intuitive tools.
Backed by IHFC, IIT Delhi and guided by expert mentors, this hands-on camp is perfect for young creators ready to turn imagination into real games.
Highlights of the program: ● Design game levels, characters & challenges from scratch ● Learn basic coding to control actions, characters & rules ● Understand game design principles like storytelling & UX ● Explore MakeCode Arcade for building 2D games ● Create custom sprites & interactive environments ● Build exciting games like Fruit Catcher & Platformer ● Practice debugging to improve game flow and logic ● Mentorship from industry experts ● IHFC, IIT Delhi-backed certification included For more information please contact: 81305 48499",https://cdn2.allevents.in/thumbs/thumb68060914d1437.jpg,1,2025-05-26,0.0,4.5,friends,1,"Iit Delhi Hauz Khas, Delhi 110016",10:00,19:00
Game Development Summer Camp - Senior,"Design and code your own video games in this creativity-driven camp! Learn game mechanics storytelling and scripting through hands-on projects using Roblox Studio and Lua.
Backed by IHFC IIT Delhi and guided by expert mentors this camp is perfect for young creators ready to take their skills to the next level.
Highlights of the program: ● Design advanced game levels with interactive gameplay ● Learn Lua scripting to code game mechanics and logic ● Build games in Roblox Studio like Obby courses & tile challenges ● Explore game planning through storyboards & feature brainstorming ● Add real-world physics like jumps lives & respawning ● Create games like Maze Runners & Adventure Parks ● Understand storytelling user experience & fun factor ● Mentorship from industry experts ● IHFC IIT Delhi-backed certification included For more information please contact: 81305 48499",https://cdn2.allevents.in/thumbs/thumb6806211b75108.jpg,1,2025-05-29,0.0,4.5,friends,1,"Iit Delhi Hauz Khas, Delhi 110016",10:00,19:00
